Image Taken,Image Number,Latitude,Longitude,Time
False,49,34.1348411222587,-137.1928827226717,21:15:55
False,49,34.087977346117285,-137.13390064000416,21:15:56
True,50,34.04107347851671,-137.07497968580788,21:15:57
False,50,34.041030505921114,-137.0749257543761,21:15:57
False,50,33.994276814339464,-137.01630415200592,21:15:58
False,50,33.94749452421419,-136.95775671672308,21:16:00
False,50,33.900456913412604,-136.8990002137486,21:16:01
True,51,33.85350200887156,-136.8404569977965,21:16:02
False,51,33.853458657497434,-136.8404029980687,21:16:02
False,51,33.806513854810355,-136.7819818280696,21:16:03
False,51,33.75949880463015,-136.7235823302652,21:16:04
False,51,33.712465000936014,-136.66526828883656,21:16:05
True,52,33.665333320573346,-136.60694152123418,21:16:06
False,52,33.66529019585509,-136.6068882028361,21:16:06
False,52,33.618168645989826,-136.5486822875943,21:16:07
False,52,33.57097453167667,-136.49049470924007,21:16:08
False,52,33.52372914245094,-136.43235165905838,21:16:09
True,53,33.47654937409659,-136.37439646787732,21:16:10
False,53,33.4765060021011,-136.37434323921335,21:16:10
False,53,33.42934988337584,-136.3165236683822,21:16:12
False,53,33.38206281590213,-136.25864995114085,21:16:13
False,53,33.33480362006748,-136.2009163406521,21:16:14
True,54,33.28742599281451,-136.14314394099148,21:16:15
False,54,33.28740420528938,-136.143117397547,21:16:15
False,54,33.24010287326571,-136.0855433803726,21:16:16
False,54,33.19269931188314,-136.02795002107902,21:16:17
False,54,33.14529926773774,-135.97046566122492,21:16:18
True,55,33.097719809478185,-135.91286856943185,21:16:19
False,55,33.097654492315556,-135.91278957203798,21:16:19
False,55,33.05022055923005,-135.85547289561907,21:16:20
False,55,33.00262107197044,-135.7980602039188,21:16:21
False,55,32.95506586499504,-135.74080453091096,21:16:22
True,56,32.9075207239598,-135.68366405024702,21:16:23
False,56,32.90745519301994,-135.68358536507048,21:16:23
False,56,32.85992680392365,-135.62656771392273,21:16:25
False,56,32.812392056642075,-135.56964454349867,21:16:26
False,56,32.76461845903525,-135.51253778369824,21:16:27
True,57,32.71681011494399,-135.45549184301132,21:16:28
False,57,32.716788156776985,-135.4554656655121,21:16:28
False,57,32.669019556068235,-135.39856900938588,21:16:29
False,57,32.6212763198746,-135.3418038114996,21:16:30
False,57,32.57352364215423,-135.28512819595474,21:16:31
True,58,32.52561752598507,-135.22837133336017,21:16:32
False,58,32.52559560009854,-135.22834537968498,21:16:32
False,58,32.47775554529388,-135.17176720530696,21:16:33
False,58,32.429890895032464,-135.1152598898182,21:16:34
False,58,32.38197502321989,-135.05879180155017,21:16:35
True,59,32.33396912363088,-135.00231721439246,21:16:37
False,59,32.33390296148276,-135.00223944921777,21:16:37
False,59,32.285896353713866,-134.94586342547288,21:16:38
False,59,32.23792635309275,-134.88962910738442,21:16:39
False,59,32.189861171037904,-134.83338175366362,21:16:40
True,60,32.14178639319898,-134.77722141443456,21:16:41
