Image Taken,Image Number,Latitude,Longitude,Time
True,1,43.119259801835824,103.7880866205047,22:29:42
False,1,43.119294145036555,103.78815744794079,22:29:42
False,1,43.294601696897125,104.15214281941904,22:29:47
False,1,43.46863508452963,104.51841129342425,22:29:52
False,1,43.64160518201444,104.88746133659347,22:29:57
True,2,43.81322155291409,105.25872652268754,22:30:02
False,2,43.81325499328461,105.258799371654,22:30:02
False,2,43.98335220984838,105.63195753194199,22:30:07
False,2,44.15223364527964,106.00771579300103,22:30:12
False,2,44.31970820488954,106.38569856444106,22:30:18
True,3,44.48566765366894,106.76569860151736,22:30:23
False,3,44.48570003687816,106.76577328985711,22:30:23
False,3,44.65014391008013,107.14782375539775,22:30:28
False,3,44.81326168698898,107.53240809965713,22:30:33
False,3,44.97496855122356,107.91937808344899,22:30:38
True,4,45.1353036650084,108.30887911355093,22:30:43
False,4,45.13535021842958,108.30899306601285,22:30:43
False,4,45.29395665516121,108.70019606674109,22:30:48
False,4,45.451172949065366,109.09397142373261,22:30:53
False,4,45.606785046772885,109.48982895198743,22:30:59
True,5,45.76101263692349,109.88837622783898,22:31:04
False,5,45.76104244913078,109.88845387980707,22:31:04
False,5,45.91353034870082,110.2888168335959,22:31:09
False,5,46.06449982480917,110.69161157946844,22:31:14
False,5,46.214068271028005,111.0972117486584,22:31:19
True,6,46.36186560461763,111.5046601789267,22:31:24
False,6,46.36189415461034,111.50473954133669,22:31:24
False,6,46.50819798348134,111.91484573954932,22:31:29
False,6,46.65285968619477,112.32724605321421,22:31:35
False,6,46.79549867909443,112.7408738228774,22:31:40
True,7,46.93671319447421,113.15750016915987,22:31:45
False,7,46.936740514915506,113.1575814785752,22:31:45
False,7,47.07632149091926,113.57665949968367,22:31:50
False,7,47.21419143737873,113.99800483073169,22:31:55
False,7,47.349985490210614,114.42051831933479,22:32:00
True,8,47.484460648272766,114.84660659771619,22:32:05
False,8,47.484499659363095,114.84673134757952,22:32:05
False,8,47.617092746690936,115.27468323905154,22:32:10
False,8,47.748041834059464,115.70531145208372,22:32:16
False,8,47.87720044229427,116.1381925082051,22:32:21
True,9,48.004616153452744,116.57353874631082,22:32:26
False,9,48.00464079126595,116.57362375107047,22:32:26
False,9,48.130086135893606,117.01069798144256,22:32:31
False,9,48.25379869291044,117.45036910004873,22:32:36
False,9,48.37564471622666,117.89221883851138,22:32:41
True,10,48.495611057692045,118.33624471747194,22:32:46
False,10,48.49564576129961,118.33637450070657,22:32:46
False,10,48.61361124128742,118.78216394926557,22:32:52
False,10,48.72937627140947,119.22895741032553,22:32:57
False,10,48.843580426307675,119.67927714056958,22:33:02
True,11,48.95583782144657,120.13169205144966,22:33:07
False,11,48.95587032689529,120.13182451021144,22:33:07
False,11,49.06615199412649,120.586263461142,22:33:12
False,11,49.1741671072074,121.04152643474181,22:33:17
False,11,49.2804996817343,121.5001215215682,22:33:22
True,12,49.38494079791591,121.96125544679765,22:33:27
False,12,49.38496088101698,121.96134518094867,22:33:27
False,12,49.48734592826163,122.42435176231538,22:33:33
False,12,49.58768635389851,122.88932000723537,22:33:38
False,12,49.68588272028292,123.35581755886152,22:33:43
True,13,49.782107215103316,123.82470861486715,22:33:48
False,13,49.782135171333614,123.82484661255113,22:33:48
False,13,49.876239193126985,124.29546648967926,22:33:53
False,13,49.968227029499296,124.76786707874041,22:33:58
False,13,50.05813324185475,125.24227306796163,22:34:03
True,14,50.14589186796154,125.71838285550446,22:34:09
False,14,50.14591724327707,125.71852248099343,22:34:09
False,14,50.23148811016976,126.19615052412965,22:34:14
False,14,50.31496242757973,126.67584844086981,22:34:19
False,14,50.39633059029739,127.1576356845795,22:34:24
True,15,50.4754820167586,127.64090937395254,22:34:29
False,15,50.47550481043409,127.64105074181602,22:34:29
False,15,50.552428463713824,128.12577322146703,22:34:34
False,15,50.62716408952557,128.61223053152,22:34:39
False,15,50.699643464671915,129.10001628891231,22:34:45
True,16,50.76994713280067,129.58972323432667,22:34:50
False,16,50.76996060057439,129.58981871268264,22:34:50
False,16,50.837950551861944,130.08052665092768,22:34:55
False,16,50.90368453427623,130.5726641513761,22:35:00
False,16,50.967248531220484,131.06695832813887,22:35:05
True,17,51.028481184463786,131.5622170281494,22:35:10
False,17,51.028498703437165,131.56236161507002,22:35:10
False,17,51.08744832620017,132.05900322450574,22:35:15
False,17,51.14406674107139,132.55664455090144,22:35:20
False,17,51.198444958591956,133.05615053458368,22:35:26
True,18,51.25040841079605,133.5559415164239,22:35:31
False,18,51.2504233665804,133.55608881952838,22:35:31
False,18,51.300100332862485,134.05741148937776,22:35:36
False,18,51.347444294052686,134.55986263280818,22:35:41
False,18,51.3924446752972,135.0633760369575,22:35:46
True,19,51.43508360730957,135.56778709266095,22:35:51
False,19,51.43509570769365,135.5679344498785,22:35:51
False,19,51.47527774735784,136.07204967064695,22:35:56
False,19,51.5132386640367,136.57891555878717,22:36:02
False,19,51.54881564515894,137.0865738927608,22:36:07
True,20,51.582003630251855,137.59498462690595,22:36:12
False,20,51.58201298918896,137.59513346582858,22:36:12
False,20,51.612700915782916,138.10244063409033,22:36:17
False,20,51.64109395533869,138.61203752694328,22:36:22
False,20,51.66707624398937,139.12206693169188,22:36:27
True,21,51.69066744761814,139.63296999106595,22:36:32
False,21,51.69067398065692,139.63311917060378,22:36:32
False,21,51.71183663221367,140.1441217780959,22:36:37
False,21,51.73061335751537,140.65633220431675,22:36:43
False,21,51.7469109787482,141.16701814181212,22:36:48
True,22,51.76084574360478,141.67982593721428,22:36:53
